task_title,task_description,priority
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.8
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.28
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.24
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.98
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.32
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.25
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.85
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.74
Обновление внутренней документации,Обновить описание API в Confluence.,0.19
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.34
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.17
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.31
Обновление внутренней документации,Обновить описание API в Confluence.,0.12
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.36
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.31
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.29
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.69
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.18
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.57
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.77
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.73
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.63
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.8
Обновление README,Уточнить инструкции по запуску проекта.,0.04
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.77
Обновление внутренней документации,Обновить описание API в Confluence.,0.09
Очистка устаревшего программуа,Провести рефакторинг старых функций без изменения логики.,0.18
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.83
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.67
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.08
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.6
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.81
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.44
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.81
Очистка устаревшего модулиа,Провести рефакторинг старых функций без изменения логики.,0.01
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.43
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.65
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.3
Добавление комментариев в модули,Дополнить модули поясняющими комментариями.,0.08
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.25
Обновление README,Уточнить инструкции по запуску проекта.,0.2
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.92
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.3
