task_title,task_description,priority
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.03
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.0
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.14
Обновление внутренней документации,Обновить описание API в Confluence.,0.03
Обновление внутренней документации,Обновить описание API в Confluence.,0.18
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.01
Обновление внутренней документации,Обновить описание API в Confluence.,0.07
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.07
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.14
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.05
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.15
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.11
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.15
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.15
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.19
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.1
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.09
Обновление README,Уточнить инструкции по запуску проекта.,0.06
Обновление внутренней документации,Обновить описание API в Confluence.,0.12
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.08
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.04
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.03
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.13
Обновление README,Уточнить инструкции по запуску проекта.,0.07
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.05
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.12
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.07
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.12
Обновление внутренней документации,Обновить описание API в Confluence.,0.13
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.08
Обновление README,Уточнить инструкции по запуску проекта.,0.04
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.09
Обновление внутренней документации,Обновить описание API в Confluence.,0.05
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.12
Обновление внутренней документации,Обновить описание API в Confluence.,0.09
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.14
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.07
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.09
Обновление README,Уточнить инструкции по запуску проекта.,0.16
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.16
Обновление внутренней документации,Обновить описание API в Confluence.,0.11
Обновление внутренней документации,Обновить описание API в Confluence.,0.09
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.15
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.2
Обновление внутренней документации,Обновить описание API в Confluence.,0.14
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.13
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.07
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.07
Обновление внутренней документации,Обновить описание API в Confluence.,0.0
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.09
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.1
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.03
